Date,Open,High,Low,Close,Adj Close,Volume
1996-06-01,213.710007,213.949997,183.610001,184.899994,184.899994,0
1996-07-01,184.899994,192.160004,170.929993,179.750000,179.750000,0
1996-08-01,179.750000,188.800003,177.960007,184.020004,184.020004,0
1996-09-01,184.020004,185.960007,170.309998,171.419998,171.419998,0
1996-10-01,171.419998,175.419998,165.220001,167.589996,167.589996,0
1996-11-01,167.589996,183.410004,165.149994,168.350006,168.350006,0
1996-12-01,168.350006,172.800003,161.470001,162.699997,162.699997,0
1997-01-01,162.699997,162.970001,152.539993,157.029999,157.029999,0
1997-02-01,157.029999,181.839996,153.399994,180.889999,180.889999,0
1997-03-01,180.889999,180.889999,157.759995,160.220001,160.220001,0
1997-04-01,160.220001,161.080002,141.009995,143.059998,143.059998,0
1997-05-01,143.059998,158.679993,142.250000,151.509995,151.509995,0
1997-06-01,151.509995,151.660004,143.520004,146.789993,146.789993,0
1997-07-01,146.789993,147.649994,134.279999,145.759995,145.759995,0
1997-08-01,145.759995,150.759995,142.770004,144.869995,144.869995,0
1997-09-01,144.869995,157.279999,134.839996,156.699997,156.699997,0
1997-10-01,156.699997,159.850006,118.589996,121.970001,121.970001,0
1997-11-01,121.970001,124.750000,98.730003,99.839996,99.839996,0
1997-12-01,99.839996,100.260002,91.529999,96.209999,96.209999,0
1998-01-01,96.209999,100.300003,83.540001,97.589996,97.589996,0
1998-02-01,97.589996,103.300003,90.580002,100.269997,100.269997,0
1998-03-01,100.269997,112.320000,93.879997,109.410004,109.410004,0
1998-04-01,109.410004,127.040001,107.070000,117.830002,117.830002,0
1998-05-01,117.830002,117.830002,99.040001,99.150002,99.150002,0
1998-06-01,99.150002,103.250000,88.480003,91.089996,91.089996,0
1998-07-01,91.089996,93.309998,80.980003,81.190002,81.190002,0
1998-08-01,81.190002,82.440002,60.459999,60.849998,60.849998,0
1998-09-01,60.849998,93.900002,60.849998,89.239998,89.239998,0
1998-10-01,89.239998,103.480003,78.680000,83.540001,83.540001,0
1998-11-01,83.540001,93.400002,77.830002,78.180000,78.180000,0
1998-12-01,78.180000,80.010002,63.480000,67.660004,67.660004,0
1999-01-01,67.660004,81.019997,65.760002,67.300003,67.300003,0
1999-02-01,67.300003,74.650002,65.570000,66.550003,66.550003,0
1999-03-01,66.550003,71.680000,60.820000,64.019997,64.019997,0
1999-04-01,64.019997,80.430000,60.680000,77.379997,77.379997,0
1999-05-01,77.379997,86.459999,64.959999,65.800003,65.800003,0
1999-06-01,65.800003,70.440002,63.380001,69.900002,69.900002,0
1999-07-01,69.900002,70.790001,62.070000,67.019997,67.019997,0
1999-08-01,67.019997,76.790001,66.029999,70.540001,70.540001,0
1999-09-01,70.540001,100.839996,63.910000,86.519997,86.519997,0
1999-10-01,86.519997,101.360001,78.070000,79.610001,79.610001,0
1999-11-01,79.610001,82.110001,73.500000,75.190002,75.190002,0
1999-12-01,75.190002,75.190002,68.839996,74.029999,74.029999,0
2000-01-01,74.029999,74.629997,63.169998,65.830002,65.830002,0
2000-02-01,65.830002,82.870003,63.810001,67.220001,67.220001,0
2000-03-01,67.220001,70.489998,60.910000,62.230000,62.230000,0
2000-04-01,62.230000,64.809998,57.849998,58.939999,58.939999,0
2000-05-01,58.939999,69.519997,57.090000,57.090000,57.090000,0
2000-06-01,57.090000,64.739998,56.770000,58.320000,58.320000,0
2000-07-01,58.320000,58.330002,48.360001,49.599998,49.599998,0
2000-08-01,49.599998,51.490002,47.279999,50.680000,50.680000,0
2000-09-01,50.680000,53.619999,45.560001,46.740002,46.740002,0
2000-10-01,46.740002,46.779999,37.560001,38.630001,38.630001,0
2000-11-01,38.630001,43.849998,35.310001,42.139999,42.139999,0
2000-12-01,42.299999,46.009998,40.020000,40.970001,40.970001,0
2001-01-01,40.970001,50.389999,40.470001,47.689999,47.689999,0
2001-02-01,47.689999,57.060001,46.000000,55.049999,55.049999,0
2001-03-01,55.049999,59.799999,48.299999,49.720001,49.720001,0
2001-04-01,49.720001,57.130001,47.450001,56.099998,56.099998,0
2001-05-01,56.099998,79.639999,55.490002,62.689999,62.689999,0
2001-06-01,62.689999,72.480003,62.680000,63.320000,63.320000,0
2001-07-01,63.320000,66.269997,60.540001,60.790001,60.790001,0
2001-08-01,60.790001,69.860001,60.070000,65.930000,65.930000,0
2001-09-01,65.930000,74.970001,62.880001,71.809998,71.809998,0
2001-10-01,71.809998,73.419998,62.840000,67.870003,67.870003,0
2001-11-01,67.870003,68.830002,59.860001,63.959999,63.959999,0
2001-12-01,63.959999,66.510002,62.130001,65.199997,65.199997,0
2002-01-01,65.199997,76.220001,64.599998,76.059998,76.059998,0
2002-02-01,76.059998,90.540001,76.059998,86.250000,86.250000,0
2002-03-01,86.250000,100.349998,79.839996,98.800003,98.800003,0
2002-04-01,98.800003,114.370003,94.959999,107.510002,107.510002,0
2002-05-01,107.510002,150.300003,105.779999,141.429993,141.429993,0
2002-06-01,141.429993,154.990005,114.949997,126.940002,126.940002,0
2002-07-01,126.940002,140.759995,92.820000,107.349998,107.349998,0
2002-08-01,107.349998,129.619995,102.639999,128.639999,128.639999,0
2002-09-01,128.639999,138.830002,119.639999,125.940002,125.940002,0
2002-10-01,125.940002,125.940002,102.989998,110.790001,110.790001,0
2002-11-01,110.790001,124.879997,110.790001,115.930000,115.930000,0
2002-12-01,115.930000,149.710007,113.790001,145.119995,145.119995,0
2003-01-01,145.119995,154.919998,137.100006,144.089996,144.089996,0
2003-02-01,144.089996,150.770004,130.050003,132.160004,132.160004,0
