Date,Open,High,Low,Close,Adj Close,Volume
2011-11-01,3.039000,3.188000,2.823000,3.062000,3.062000,0
2011-12-01,3.139000,3.159000,2.786000,2.889000,2.889000,0
2012-01-01,2.977000,3.179000,2.880000,2.934000,2.934000,0
2012-02-01,2.948000,3.239000,2.941000,3.086000,3.086000,0
2012-03-01,3.151000,3.490000,3.058000,3.345000,3.345000,0
2012-04-01,3.330000,3.411000,3.058000,3.109000,3.109000,0
2012-05-01,3.116000,3.168000,2.585000,2.672000,2.672000,0
2012-06-01,2.599000,2.829000,2.510000,2.763000,2.763000,0
2012-07-01,2.742000,2.749000,2.452000,2.577000,2.577000,0
2012-08-01,2.575000,2.984000,2.508000,2.684000,2.684000,0
2012-09-01,2.680000,3.277000,2.663000,2.834000,2.834000,0
2012-10-01,2.810000,3.007000,2.800000,2.851000,2.851000,0
2012-11-01,2.880000,2.963000,2.696000,2.794000,2.794000,0
2012-12-01,2.833000,3.036000,2.745000,2.952000,2.952000,0
2013-01-01,3.043000,3.220000,2.992000,3.170000,3.170000,0
2013-02-01,3.195000,3.244000,3.034000,3.094000,3.094000,0
2013-03-01,3.051000,3.284000,3.045000,3.104000,3.104000,0
2013-04-01,3.136000,3.140000,2.839000,2.884000,2.884000,0
2013-05-01,2.865000,3.356000,2.810000,3.308000,3.308000,0
2013-06-01,3.309000,3.630000,3.169000,3.498000,3.498000,0
2013-07-01,3.523000,3.792000,3.458000,3.646000,3.646000,0
2013-08-01,3.669000,3.930000,3.602000,3.676000,3.676000,0
2013-09-01,3.754000,3.910000,3.648000,3.686000,3.686000,0
2013-10-01,3.719000,3.804000,3.565000,3.631000,3.631000,0
2013-11-01,3.665000,3.938000,3.648000,3.808000,3.808000,0
2013-12-01,3.843000,3.976000,3.810000,3.964000,3.964000,0
2014-01-01,3.963000,3.967000,3.594000,3.622000,3.622000,0
2014-02-01,3.626000,3.744000,3.539000,3.592000,3.592000,0
2014-03-01,3.557000,3.751000,3.494000,3.561000,3.561000,0
2014-04-01,3.585000,3.652000,3.418000,3.458000,3.458000,0
2014-05-01,3.474000,3.503000,3.267000,3.314000,3.314000,0
2014-06-01,3.348000,3.499000,3.333000,3.338000,3.338000,0
2014-07-01,3.378000,3.516000,3.217000,3.311000,3.311000,0
2014-08-01,3.352000,3.370000,3.059000,3.080000,3.080000,0
2014-09-01,3.139000,3.391000,3.136000,3.212000,3.212000,0
2014-10-01,3.184000,3.276000,2.677000,3.060000,3.060000,0
2014-11-01,3.053000,3.133000,2.905000,2.910000,2.910000,0
2014-12-01,2.886000,3.016000,2.687000,2.749000,2.749000,0
2015-01-01,2.769000,2.782000,2.226000,2.251000,2.251000,0
2015-02-01,2.254000,2.746000,2.235000,2.600000,2.600000,0
2015-03-01,2.616000,2.870000,2.445000,2.544000,2.544000,0
2015-04-01,2.501000,2.813000,2.457000,2.753000,2.753000,0
2015-05-01,2.778000,3.099000,2.768000,2.847000,2.847000,0
2015-06-01,2.885000,3.255000,2.864000,3.104000,3.104000,0
2015-07-01,3.192000,3.245000,2.895000,2.927000,2.927000,0
2015-08-01,2.907000,2.963000,2.625000,2.931000,2.931000,0
2015-09-01,2.909000,3.092000,2.841000,2.880000,2.880000,0
2015-10-01,2.853000,2.970000,2.749000,2.933000,2.933000,0
2015-11-01,2.947000,3.140000,2.941000,2.990000,2.990000,0
2015-12-01,2.999000,3.113000,2.872000,3.015000,3.015000,0
2016-01-01,2.978000,3.022000,2.711000,2.758000,2.758000,0
2016-02-01,2.748000,2.781000,2.409000,2.615000,2.615000,0
2016-03-01,2.630000,2.757000,2.598000,2.620000,2.620000,0
2016-04-01,2.617000,2.764000,2.511000,2.666000,2.666000,0
