Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,14.120000,14.260000,13.840000,14.100000,6.802264,0
1996-02-01,14.100000,14.420000,14.090000,14.340000,6.918047,0
1996-03-01,14.420000,14.520000,14.110000,14.520000,7.004884,0
1996-04-01,14.530000,14.790000,14.470000,14.610000,7.058046,0
1996-05-01,14.580000,14.780000,14.450000,14.780000,7.140173,0
1996-06-01,14.770000,14.980000,14.660000,14.980000,7.236793,0
1996-07-01,15.000000,15.000000,14.510000,14.800000,7.149835,0
1996-08-01,14.890000,15.420000,14.890000,15.240000,7.362398,0
1996-09-01,15.110000,15.540000,15.110000,15.540000,7.507324,0
1996-10-01,15.600000,15.990000,15.600000,15.880000,7.671576,0
1996-11-01,15.860000,16.670000,15.860000,16.660000,8.048392,0
1996-12-01,16.610001,16.610001,16.139999,16.570000,8.004917,0
1997-01-01,16.290001,16.760000,16.290001,16.600000,8.217545,0
1997-02-01,16.580000,17.049999,16.580000,16.809999,8.321499,0
1997-03-01,16.730000,17.350000,16.590000,17.350000,8.588816,0
1997-04-01,16.900000,17.270000,16.620001,17.270000,8.564619,0
1997-05-01,17.370001,18.570000,17.370001,18.059999,8.956396,0
1997-06-01,18.030001,19.299999,18.030001,19.010000,9.427526,0
1997-07-01,19.299999,20.150000,19.299999,19.900000,9.868897,0
1997-08-01,19.709999,19.790001,18.770000,18.770000,9.308503,0
1997-09-01,19.100000,20.590000,18.930000,20.590000,10.211088,0
1997-10-01,20.719999,21.040001,18.780001,19.570000,9.705247,0
1997-11-01,19.830000,20.209999,19.299999,19.840000,9.839141,0
1997-12-01,20.160000,20.549999,20.030001,20.129999,9.982961,0
1998-01-01,20.299999,20.969999,19.410000,20.969999,10.620248,0
1998-02-01,21.370001,22.600000,21.370001,22.600000,11.445758,0
1998-03-01,22.930000,24.450001,22.340000,24.170000,12.240882,0
1998-04-01,24.430000,25.410000,23.879999,24.629999,12.504727,0
1998-05-01,24.950001,25.870001,24.610001,25.230000,12.809349,0
1998-06-01,25.219999,26.020000,24.350000,25.530001,12.961659,0
1998-07-01,25.730000,27.360001,25.730000,26.020000,13.210431,0
1998-08-01,25.600000,25.600000,22.770000,22.770000,11.560400,0
1998-09-01,22.620001,23.770000,21.540001,21.850000,11.093313,0
1998-10-01,21.110001,23.559999,20.270000,23.559999,11.961486,0
1998-11-01,24.090000,25.200001,23.370001,24.830000,12.606270,0
1998-12-01,24.090000,25.870001,23.969999,25.280001,12.834730,0
1999-01-01,26.170000,26.920000,24.920000,25.090000,13.040721,0
1999-02-01,25.330000,25.330000,23.990000,24.420000,12.692486,0
1999-03-01,24.030001,25.020000,23.940001,24.740000,12.858809,0
1999-04-01,24.770000,25.750000,24.620001,25.510000,13.259017,0
1999-05-01,25.620001,25.680000,24.180000,24.260000,12.609321,0
1999-06-01,24.389999,25.549999,24.360001,24.809999,12.895192,0
1999-07-01,25.200001,25.660000,24.600000,25.020000,13.004338,0
1999-08-01,24.959999,25.549999,24.270000,25.290001,13.144673,0
1999-09-01,25.500000,25.860001,24.760000,25.080000,13.035525,0
1999-10-01,25.040001,25.990000,24.910000,25.990000,13.508504,0
1999-11-01,25.969999,27.180000,25.959999,26.760000,13.908717,0
1999-12-01,27.010000,28.830000,27.010000,28.830000,14.984617,0
2000-01-01,29.020000,29.020000,26.760000,26.760000,14.234979,0
2000-02-01,27.059999,28.750000,27.059999,28.190001,14.995663,0
2000-03-01,28.690001,29.850000,28.340000,28.820000,15.330794,0
2000-04-01,28.309999,28.850000,27.059999,27.570000,14.690962,0
2000-05-01,27.490000,27.980000,25.820000,27.410000,14.605701,0
2000-06-01,27.879999,29.000000,27.549999,28.030001,14.936079,0
2000-07-01,28.260000,28.639999,27.340000,27.559999,14.685635,0
2000-08-01,27.370001,27.940001,26.670000,27.260000,14.525775,0
2000-09-01,28.020000,28.020000,24.959999,25.940001,13.822395,0
2000-10-01,26.100000,26.110001,24.160000,25.740000,13.715822,0
2000-11-01,26.000000,26.120001,24.299999,24.719999,13.172303,0
2000-12-01,25.090000,25.990000,25.090000,25.990000,13.849043,0
2001-01-01,25.870001,27.290001,25.290001,25.990000,14.081626,0
2001-02-01,26.010000,26.010000,23.450001,23.709999,12.846301,0
2001-03-01,23.740000,24.340000,20.459999,21.920000,11.876461,0
2001-04-01,21.770000,23.480000,21.370001,23.480000,12.727904,0
2001-05-01,23.520000,23.520000,22.350000,22.350000,12.115363,0
2001-06-01,22.280001,22.650000,21.309999,21.510000,11.660018,0
